id_jukir,tipe_lokasi,hari,jumlah_kendaraan,pendapatan_harian_rp
JKR-001,Pasar/Kuliner,Senin,120,322000
JKR-001,Pasar/Kuliner,Selasa,76,214000
JKR-001,Pasar/Kuliner,Rabu,109,313000
JKR-001,Pasar/Kuliner,Kamis,25,87000
JKR-001,Pasar/Kuliner,Jumat,94,302000
JKR-002,Minimarket,Senin,93,217000
JKR-002,Minimarket,Selasa,76,184000
JKR-002,Minimarket,Rabu,41,99000
JKR-002,Minimarket,Kamis,122,297000
JKR-002,Minimarket,Jumat,149,343000
JKR-003,Pasar/Kuliner,Senin,60,201000
JKR-003,Pasar/Kuliner,Selasa,110,289000
JKR-003,Pasar/Kuliner,Rabu,150,400000
JKR-003,Pasar/Kuliner,Kamis,106,279000
JKR-003,Pasar/Kuliner,Jumat,49,128000
JKR-004,Minimarket,Senin,118,311000
JKR-004,Minimarket,Selasa,71,226000
JKR-004,Minimarket,Rabu,148,420000
JKR-004,Minimarket,Kamis,140,333000
JKR-004,Minimarket,Jumat,125,291000
JKR-005,Ruko/Pertokoan,Senin,121,392000
JKR-005,Ruko/Pertokoan,Selasa,149,426000
JKR-005,Ruko/Pertokoan,Rabu,155,433000
JKR-005,Ruko/Pertokoan,Kamis,334,971000
JKR-005,Ruko/Pertokoan,Jumat,236,697000
JKR-006,Minimarket,Senin,114,261000
JKR-006,Minimarket,Selasa,86,192000
JKR-006,Minimarket,Rabu,73,167000
JKR-006,Minimarket,Kamis,93,227000
JKR-006,Minimarket,Jumat,125,338000
JKR-007,Pasar/Kuliner,Senin,85,212000
JKR-007,Pasar/Kuliner,Selasa,208,568000
JKR-007,Pasar/Kuliner,Rabu,114,322000
JKR-007,Pasar/Kuliner,Kamis,91,218000
JKR-007,Pasar/Kuliner,Jumat,148,383000
JKR-008,Minimarket,Senin,122,346000
JKR-008,Minimarket,Selasa,63,132000
JKR-008,Minimarket,Rabu,87,223000
JKR-008,Minimarket,Kamis,108,251000
JKR-008,Minimarket,Jumat,108,307000
JKR-009,Minimarket,Senin,39,93000
JKR-009,Minimarket,Selasa,42,101000
JKR-009,Minimarket,Rabu,26,76000
JKR-009,Minimarket,Kamis,67,182000
JKR-009,Minimarket,Jumat,7,25000
JKR-010,Pasar/Kuliner,Senin,62,200000
JKR-010,Pasar/Kuliner,Selasa,190,615000
JKR-010,Pasar/Kuliner,Rabu,98,286000
JKR-010,Pasar/Kuliner,Kamis,103,263000
JKR-010,Pasar/Kuliner,Jumat,124,299000
JKR-011,Pasar/Kuliner,Senin,110,294000
JKR-011,Pasar/Kuliner,Selasa,182,532000
JKR-011,Pasar/Kuliner,Rabu,107,334000
JKR-011,Pasar/Kuliner,Kamis,64,146000
JKR-011,Pasar/Kuliner,Jumat,292,837000
JKR-012,Minimarket,Senin,149,344000
JKR-012,Minimarket,Selasa,48,111000
JKR-012,Minimarket,Rabu,162,467000
JKR-012,Minimarket,Kamis,197,476000
JKR-012,Minimarket,Jumat,153,347000
JKR-013,Minimarket,Senin,102,283000
JKR-013,Minimarket,Selasa,75,192000
JKR-013,Minimarket,Rabu,73,167000
JKR-013,Minimarket,Kamis,161,419000
JKR-013,Minimarket,Jumat,159,362000
JKR-014,Minimarket,Senin,65,185000
JKR-014,Minimarket,Selasa,99,238000
JKR-014,Minimarket,Rabu,19,44000
JKR-014,Minimarket,Kamis,41,138000
JKR-014,Minimarket,Jumat,165,466000
JKR-015,Minimarket,Senin,75,193000
JKR-015,Minimarket,Selasa,87,215000
JKR-015,Minimarket,Rabu,54,114000
JKR-015,Minimarket,Kamis,92,250000
JKR-015,Minimarket,Jumat,88,217000
JKR-016,Minimarket,Senin,143,370000
JKR-016,Minimarket,Selasa,145,398000
JKR-016,Minimarket,Rabu,124,305000
JKR-016,Minimarket,Kamis,82,248000
JKR-016,Minimarket,Jumat,177,431000
JKR-017,Minimarket,Senin,161,407000
JKR-017,Minimarket,Selasa,199,504000
JKR-017,Minimarket,Rabu,92,219000
JKR-017,Minimarket,Kamis,142,353000
JKR-017,Minimarket,Jumat,169,444000
JKR-018,Kawasan Komersial,Senin,58,176000
JKR-018,Kawasan Komersial,Selasa,198,634000
JKR-018,Kawasan Komersial,Rabu,86,273000
JKR-018,Kawasan Komersial,Kamis,231,750000
JKR-018,Kawasan Komersial,Jumat,202,637000
JKR-019,Ruko/Pertokoan,Senin,38,109000
JKR-019,Ruko/Pertokoan,Selasa,71,184000
JKR-019,Ruko/Pertokoan,Rabu,81,226000
JKR-019,Ruko/Pertokoan,Kamis,54,164000
JKR-019,Ruko/Pertokoan,Jumat,80,238000
JKR-020,Minimarket,Senin,153,366000
JKR-020,Minimarket,Selasa,13,26000
JKR-020,Minimarket,Rabu,98,319000
JKR-020,Minimarket,Kamis,101,277000
JKR-020,Minimarket,Jumat,114,317000
JKR-021,Ruko/Pertokoan,Senin,85,229000
JKR-021,Ruko/Pertokoan,Selasa,47,146000
JKR-021,Ruko/Pertokoan,Rabu,62,180000
JKR-021,Ruko/Pertokoan,Kamis,132,367000
JKR-021,Ruko/Pertokoan,Jumat,123,339000
JKR-022,Minimarket,Senin,123,336000
JKR-022,Minimarket,Selasa,24,60000
JKR-022,Minimarket,Rabu,88,203000
JKR-022,Minimarket,Kamis,193,485000
JKR-022,Minimarket,Jumat,86,259000
JKR-023,Ruko/Pertokoan,Senin,103,283000
JKR-023,Ruko/Pertokoan,Selasa,136,453000
JKR-023,Ruko/Pertokoan,Rabu,50,135000
JKR-023,Ruko/Pertokoan,Kamis,111,307000
JKR-023,Ruko/Pertokoan,Jumat,121,349000
JKR-024,Pasar/Kuliner,Senin,70,193000
JKR-024,Pasar/Kuliner,Selasa,153,391000
JKR-024,Pasar/Kuliner,Rabu,39,90000
JKR-024,Pasar/Kuliner,Kamis,130,378000
JKR-024,Pasar/Kuliner,Jumat,185,480000
JKR-025,Pasar/Kuliner,Senin,81,192000
JKR-025,Pasar/Kuliner,Selasa,116,289000
JKR-025,Pasar/Kuliner,Rabu,66,171000
JKR-025,Pasar/Kuliner,Kamis,150,401000
JKR-025,Pasar/Kuliner,Jumat,213,548000
JKR-026,Pasar/Kuliner,Senin,111,332000
JKR-026,Pasar/Kuliner,Selasa,60,181000
JKR-026,Pasar/Kuliner,Rabu,164,458000
JKR-026,Pasar/Kuliner,Kamis,52,130000
JKR-026,Pasar/Kuliner,Jumat,40,110000
JKR-027,Minimarket,Senin,121,303000
JKR-027,Minimarket,Selasa,171,475000
JKR-027,Minimarket,Rabu,129,335000
JKR-027,Minimarket,Kamis,215,516000
