x_rupiah,pdf_f_x,cdf_F_x,sisa_1_min_F
50000,5.501289220808191e-07,0.009315655971798396,0.9906843440282016
100000,1.631382201268665e-06,0.06379223731042985,0.9362077626895702
150000,2.4455071029210313e-06,0.16763983194677567,0.8323601680532243
200000,2.7725522302393542e-06,0.3000659506477124,0.6999340493522876
250000,2.6972649398773304e-06,0.4381553270605936,0.5618446729394064
300000,2.3819120401037777e-06,0.5658077170332473,0.4341922829667527
400000,1.5476377055838087e-06,0.7624914471875942,0.23750855281240577
500000,8.628711480308825e-07,0.880859586748766,0.11914041325123403
600000,4.366976297029903e-07,0.9438489024091637,0.05615109759083629
800000,9.319443210432664e-08,0.9890445103568603,0.01095548964313975
1000000,1.7066016495716405e-08,0.9980992261020133,0.0019007738979866693
